OrphaCode,DisorderName,GeneSymbol,GeneName,GeneLocus
397715,Joubert syndrome with Jeune asphyxiating thoracic dystrophy,CSPP1,centrosome and spindle pole associated protein 1,8q13.1-q13.2
397715,Joubert syndrome with Jeune asphyxiating thoracic dystrophy,KIAA0586,KIAA0586,14q23.1
397692,Hereditary isolated aplastic anemia,THPO,thrombopoietin,3q27.1
397692,Hereditary isolated aplastic anemia,MPL,"MPL proto-oncogene, thrombopoietin receptor",1p34.2
397692,Hereditary isolated aplastic anemia,ACD,ACD shelterin complex subunit and telomerase recruitment factor,16q22.1
397623,Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome,GSC,goosecoid homeobox,14q32.13
397685,Familial hyperprolactinemia,PRLR,prolactin receptor,5p13.2
397615,Obesity due to CEP19 deficiency,CEP19,centrosomal protein 19,3q29
397618,Foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome,SLC38A8,solute carrier family 38 member 8,16q23.3
397593,Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency,LYRM4,LYR motif containing 4,6p25.1
397593,Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency,NFS1,NFS1 cysteine desulfurase,20q11.22
397612,Macrocephaly-developmental delay syndrome,KPTN,"kaptin, actin binding protein",19q13.32
397606,PrP systemic amyloidosis,PRNP,prion protein (Kanno blood group),20p13
397590,Silver-Russell syndrome due to a point mutation,IGF2,insulin like growth factor 2,11p15.5
397590,Silver-Russell syndrome due to a point mutation,CDKN1C,cyclin dependent kinase inhibitor 1C,11p15.4
397590,Silver-Russell syndrome due to a point mutation,HMGA2,high mobility group AT-hook 2,12q14.3
397590,Silver-Russell syndrome due to a point mutation,PLAG1,PLAG1 zinc finger,8q12.1
394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",SLC25A32,solute carrier family 25 member 32,8q22.3
394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",FLAD1,flavin adenine dinucleotide synthetase 1,1q21.3
394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",ETFA,electron transfer flavoprotein subunit alpha,15q24.2-q24.3
394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",ETFB,electron transfer flavoprotein subunit beta,19q13.41
394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",ETFDH,electron transfer flavoprotein dehydrogenase,4q32.1
394529,"Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type",ETFA,electron transfer flavoprotein subunit alpha,15q24.2-q24.3
394529,"Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type",ETFB,electron transfer flavoprotein subunit beta,19q13.41
394529,"Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type",ETFDH,electron transfer flavoprotein dehydrogenase,4q32.1
394529,"Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type",FLAD1,flavin adenine dinucleotide synthetase 1,1q21.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,SPAG17,sperm associated antigen 17,1p12
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,TEX14,"testis expressed 14, intercellular bridge forming factor",17q22
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,TDRD9,tudor domain containing 9,14q32.33
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,NANOS1,nanos C2HC-type zinc finger 1,10q26.11
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,FANCM,FA complementation group M,14q21.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,TEX15,"testis expressed 15, meiosis and synapsis associated",8p12
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,CT55,cancer/testis antigen 55,Xq26.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,RPL10L,ribosomal protein L10 like,14q21.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,GCNA,germ cell nuclear acidic peptidase,Xq13.1
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,CATIP,ciliogenesis associated TTC17 interacting protein,2q35
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,RNF212,ring finger protein 212,4p16.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,TERB1,telomere repeat binding bouquet formation protein 1,16q22.1
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,TERB2,telomere repeat binding bouquet formation protein 2,15q21.1
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,MOV10L1,Mov10 like RNA helicase 1,22q13.33
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,FBXO43,F-box protein 43,8q22.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,RPL10L,ribosomal protein L10 like,14q21.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,SHOC1,shortage in chiasmata 1,9q31.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,PNLDC1,PARN like ribonuclease domain containing exonuclease 1,6q25.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,DNAH10,dynein axonemal heavy chain 10,12q24.31
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,STAG3,STAG3 cohesin complex component,7q22.1
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,CFTR,CF transmembrane conductance regulator,7q31.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,NR5A1,nuclear receptor subfamily 5 group A member 1,9q33.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,TAF4B,TATA-box binding protein associated factor 4b,18q11.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,ZMYND15,zinc finger MYND-type containing 15,17p13.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,TEX11,testis expressed 11,Xq13.1
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,SYCP3,synaptonemal complex protein 3,12q23.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,SOHLH1,spermatogenesis and oogenesis specific basic helix-loop-helix 1,9q34.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,XRCC2,X-ray repair cross complementing 2,7q36.1
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,SYCE1,synaptonemal complex central element protein 1,10q26.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,MEIOB,meiosis specific with OB-fold,16p13.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,C14ORF39,chromosome 14 open reading frame 39,14q23.1
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,KLHL10,kelch like family member 10,17q21.2
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,CCDC34,coiled-coil domain containing 34,11p14.1
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,PDHA2,pyruvate dehydrogenase E1 subunit alpha 2,4q22.3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,DNHD1,dynein heavy chain domain 1,11p15.4
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,MSH5,mutS homolog 5,6p21.33
399058,Alpha-B crystallin-related late-onset myopathy,CRYAB,crystallin alpha B,11q23.1
398987,Malignant teratoma of ovary,BMP15,bone morphogenetic protein 15,Xp11.22
399086,HNRNPA1-related adult-onset distal myopathy,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,12q13.13
399081,KLHL9-related early-onset distal myopathy,KLHL9,kelch like family member 9,9p21.3
399103,Distal nebulin myopathy,NEB,nebulin,2q23.3
399096,Distal anoctaminopathy,ANO5,anoctamin 5,11p14.3
398189,Focal facial dermal dysplasia type IV,CYP26C1,cytochrome P450 family 26 subfamily C member 1,10q23.33
398069,Schaaf-Yang syndrome,MAGEL2,MAGE family member L2,15q11.2
398079,SIM1-related Prader-Willi-like syndrome,SIM1,SIM bHLH transcription factor 1,6q16.3
398088,Hereditary cryohydrocytosis with normal stomatin,SLC4A1,solute carrier family 4 member 1 (Diego blood group),17q21.31
435628,Keppen-Lubinsky syndrome,KCNJ6,potassium inwardly rectifying channel subfamily J member 6,21q22.13
435660,LIPE-related familial partial lipodystrophy,LIPE,"lipase E, hormone sensitive type",19q13.2
435651,CIDEC-related familial partial lipodystrophy,CIDEC,cell death inducing DFFA like effector c,3p25.3
435638,3p25.3 microdeletion syndrome,SETD5,SET domain containing 5,3p25.3
435638,3p25.3 microdeletion syndrome,BRPF1,bromodomain and PHD finger containing 1,3p25.3
435804,Short stature-advanced bone age-early-onset osteoarthritis syndrome,ACAN,aggrecan,15q26.1
435845,Lethal neonatal spasticity-epileptic encephalopathy syndrome,BRAT1,BRCA1 associated ATM activator 1,7p22.3
435930,Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome,SIX6,SIX homeobox 6,14q23.1
435819,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation,TFG,trafficking from ER to golgi regulator,3q12.2
435953,Progeroid features-hepatocellular carcinoma predisposition syndrome,SPRTN,SprT-like N-terminal domain,1q42.2
435988,Chronic atrial and intestinal dysrhythmia syndrome,SGO1,shugoshin 1,3p24.3
435934,COG2-CDG,COG2,component of oligomeric golgi complex 2,1q42.2
435938,X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome,RPL10,ribosomal protein L10,Xq28
436141,HIDEA syndrome,P4HTM,"prolyl 4-hydroxylase, transmembrane",3p21.31
436144,Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome,CDKN1C,cyclin dependent kinase inhibitor 1C,11p15.4
435998,Autosomal recessive intermediate Charcot-Marie-Tooth disease type D,COX6A1,cytochrome c oxidase subunit 6A1,12q24.31
436159,Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency,CTLA4,cytotoxic T-lymphocyte associated protein 4,2q33.2
436151,Intellectual disability-expressive aphasia-facial dysmorphism syndrome,SETBP1,SET binding protein 1,18q12.3
436169,Thrombomodulin-related bleeding disorder,THBD,thrombomodulin,20p11.21
436166,Periodic fever-infantile enterocolitis-autoinflammatory syndrome,NLRC4,NLR family CARD domain containing 4,2p22.3
436182,Microcephalic primordial dwarfism-insulin resistance syndrome,NSMCE2,"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase",8q24.13
436182,Microcephalic primordial dwarfism-insulin resistance syndrome,XRCC4,X-ray repair cross complementing 4,5q14.2
436174,Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome,IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial",1q41
436245,Retinitis pigmentosa-juvenile cataract-short stature-intellectual disability syndrome,RDH11,retinol dehydrogenase 11,14q24.1
436242,Hereditary atrial tachyarrhythmia-infra-Hisian cardiac conduction disease,TNNI3K,TNNI3 interacting kinase,1p31.1
436271,Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy,COA8,cytochrome c oxidase assembly factor 8,14q32.33
436252,Combined immunodeficiency-multiple intestinal atresia,TTC7A,tetratricopeptide repeat domain 7A,2p21
436252,Combined immunodeficiency-multiple intestinal atresia,PI4KA,phosphatidylinositol 4-kinase alpha,22q11.21
436274,Pseudoxanthoma elasticum-like skin manifestations with retinitis pigmentosa,GGCX,gamma-glutamyl carboxylase,2p11.2
437552,Autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity,FCGR3A,Fc fragment of IgG receptor IIIa,1q23.3
438178,Fatty acyl-CoA reductase 1 deficiency,FAR1,fatty acyl-CoA reductase 1,11p15.3
438159,STAT3-related early-onset multisystem autoimmune disease,STAT3,signal transducer and activator of transcription 3,17q21.2
438134,PCNA-related progressive neurodegenerative photosensitivity syndrome,PCNA,proliferating cell nuclear antigen,20p12.3
438117,Steel syndrome,COL27A1,collagen type XXVII alpha 1 chain,9q32
438114,RARS-related autosomal recessive hypomyelinating leukodystrophy,RARS1,arginyl-tRNA synthetase 1,5q34
438075,Ketoacidosis due to monocarboxylate transporter-1 deficiency,SLC16A1,solute carrier family 16 member 1,1p13.2
438274,GCGR-related hyperglucagonemia,GCGR,glucagon receptor,17q25.3
438216,PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation,PURA,purine rich element binding protein A,5q31.3
438207,Severe autosomal recessive macrothrombocytopenia,PRKACG,protein kinase cAMP-activated catalytic subunit gamma,9q21.11
438207,Severe autosomal recessive macrothrombocytopenia,GNE,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,9p13.3
439212,Early-onset myopathy-areflexia-respiratory distress-dysphagia syndrome,MEGF10,multiple EGF like domains 10,5q23.2
439218,KCNQ2-related developmental and epileptic encephalopathy,KCNQ2,potassium voltage-gated channel subfamily Q member 2,20q13.33
439822,PDE4D haploinsufficiency syndrome,PDE4D,phosphodiesterase 4D,5q11.2-q12.1
439854,Fatal congenital hypertrophic cardiomyopathy due to glycogen storage disease,PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2,7q36.1
439897,Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome,KIF14,kinesin family member 14,1q32.1
440402,Interstitial lung disease due to ABCA3 deficiency,ABCA3,ATP binding cassette subfamily A member 3,16p13.3
440354,Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome,COL11A1,collagen type XI alpha 1 chain,1p21.1
440392,Interstitial lung disease due to SP-C deficiency,SFTPC,surfactant protein C,8p21.3
440713,Isolated sedoheptulokinase deficiency,SHPK,sedoheptulokinase,17p13.2
440731,L-ferritin deficiency,FTL,ferritin light chain,19q13.33
440731,L-ferritin deficiency,FTL,ferritin light chain,19q13.33
440427,Severe early-onset pulmonary alveolar proteinosis due to MARS deficiency,MARS1,methionyl-tRNA synthetase 1,12q13.3
440437,Familial colorectal cancer Type X,BMPR1A,bone morphogenetic protein receptor type 1A,10q23.2
440437,Familial colorectal cancer Type X,NPAT,"nuclear protein, coactivator of histone transcription",11q22.3
440437,Familial colorectal cancer Type X,MUTYH,mutY DNA glycosylase,1p34.1
440437,Familial colorectal cancer Type X,SEMA4A,semaphorin 4A,1q22
440437,Familial colorectal cancer Type X,RPS20,ribosomal protein S20,8q12.1
440437,Familial colorectal cancer Type X,POLE,"DNA polymerase epsilon, catalytic subunit",12q24.33
440437,Familial colorectal cancer Type X,POLD1,"DNA polymerase delta 1, catalytic subunit",19q13.3
440437,Familial colorectal cancer Type X,BRCA2,BRCA2 DNA repair associated,13q13.1
440437,Familial colorectal cancer Type X,ATM,ATM serine/threonine kinase,11q22.3
440437,Familial colorectal cancer Type X,CHEK2,checkpoint kinase 2,22q12.1
440706,Ribose-5-P isomerase deficiency,RPIA,ribose 5-phosphate isomerase A,2p11.2
441447,Early-onset posterior subcapsular cataract,LEMD2,LEM domain nuclear envelope protein 2,6p21.31
441447,Early-onset posterior subcapsular cataract,CRYBB2,crystallin beta B2,22q11.23
441447,Early-onset posterior subcapsular cataract,CHMP4B,charged multivesicular body protein 4B,20q11.22
441447,Early-onset posterior subcapsular cataract,EPHA2,EPH receptor A2,1p36.13
441447,Early-onset posterior subcapsular cataract,UNC45B,unc-45 myosin chaperone B,17q12
441452,Early-onset lamellar cataract,BFSP2,beaded filament structural protein 2,3q22.1
441452,Early-onset lamellar cataract,CRYAA,crystallin alpha A,21q22.3
441452,Early-onset lamellar cataract,CRYAB,crystallin alpha B,11q23.1
441452,Early-onset lamellar cataract,CRYBA1,crystallin beta A1,17q11.2
441452,Early-onset lamellar cataract,CRYBA4,crystallin beta A4,22q12.1
441452,Early-onset lamellar cataract,CRYGC,crystallin gamma C,2q33.3
441452,Early-onset lamellar cataract,CRYGD,crystallin gamma D,2q33.3
441452,Early-onset lamellar cataract,HSF4,heat shock transcription factor 4,16q22.1
441452,Early-onset lamellar cataract,MIP,major intrinsic protein of lens fiber,12q13.3
441452,Early-onset lamellar cataract,CRYGS,crystallin gamma S,3q27.3
441452,Early-onset lamellar cataract,CRYGB,crystallin gamma B,2q33.3
443057,Sporadic porphyria cutanea tarda,HFE,homeostatic iron regulator,6p22.2
443062,Familial porphyria cutanea tarda,UROD,uroporphyrinogen decarboxylase,1p34.1
443062,Familial porphyria cutanea tarda,HFE,homeostatic iron regulator,6p22.2
443073,Charcot-Marie-Tooth disease type 2S,IGHMBP2,immunoglobulin mu DNA binding protein 2,11q13.3
442835,Non-specific early-onset epileptic encephalopathy,ACTL6B,actin like 6B,7q22.1
442835,Non-specific early-onset epileptic encephalopathy,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,5q34
442835,Non-specific early-onset epileptic encephalopathy,GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2,4p12
442835,Non-specific early-onset epileptic encephalopathy,FZR1,fizzy and cell division cycle 20 related 1,19p13.3
442835,Non-specific early-onset epileptic encephalopathy,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,15q12
442835,Non-specific early-onset epileptic encephalopathy,PACS2,phosphofurin acidic cluster sorting protein 2,14q32.33
442835,Non-specific early-onset epileptic encephalopathy,YWHAG,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,7q11.23
442835,Non-specific early-onset epileptic encephalopathy,UBA5,ubiquitin like modifier activating enzyme 5,3q22.1
442835,Non-specific early-onset epileptic encephalopathy,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,19q13.33
442835,Non-specific early-onset epileptic encephalopathy,DALRD3,DALR anticodon binding domain containing 3,3p21.31
442835,Non-specific early-onset epileptic encephalopathy,TRAK1,trafficking kinesin protein 1,3p22.1
442835,Non-specific early-onset epileptic encephalopathy,SLC1A2,solute carrier family 1 member 2,11p13
442835,Non-specific early-onset epileptic encephalopathy,AP3B2,adaptor related protein complex 3 subunit beta 2,15q25.2
442835,Non-specific early-onset epileptic encephalopathy,ATP6V1A,ATPase H+ transporting V1 subunit A,3q13.31
442835,Non-specific early-onset epileptic encephalopathy,SCN3A,sodium voltage-gated channel alpha subunit 3,2q24.3
442835,Non-specific early-onset epileptic encephalopathy,GABRB2,gamma-aminobutyric acid type A receptor subunit beta2,5q34
442835,Non-specific early-onset epileptic encephalopathy,CLTC,clathrin heavy chain,17q23.1
442835,Non-specific early-onset epileptic encephalopathy,NUS1,NUS1 dehydrodolichyl diphosphate synthase subunit,6q22.1
442835,Non-specific early-onset epileptic encephalopathy,CYFIP2,cytoplasmic FMR1 interacting protein 2,5q33.3
442835,Non-specific early-onset epileptic encephalopathy,FBXO28,F-box protein 28,1q42.11
442835,Non-specific early-onset epileptic encephalopathy,NTRK2,neurotrophic receptor tyrosine kinase 2,9q21.33
442835,Non-specific early-onset epileptic encephalopathy,KCNC2,potassium voltage-gated channel subfamily C member 2,12q21.1
442835,Non-specific early-onset epileptic encephalopathy,SLC38A3,solute carrier family 38 member 3,3p21.31
442835,Non-specific early-onset epileptic encephalopathy,FGF12,fibroblast growth factor 12,3q28-q29
442835,Non-specific early-onset epileptic encephalopathy,SZT2,SZT2 subunit of KICSTOR complex,1p34.2
442835,Non-specific early-onset epileptic encephalopathy,CELF2,CUGBP Elav-like family member 2,10p14
442835,Non-specific early-onset epileptic encephalopathy,DHDDS,dehydrodolichyl diphosphate synthase subunit,1p36.11
442835,Non-specific early-onset epileptic encephalopathy,PPP3CA,protein phosphatase 3 catalytic subunit alpha,4q24
442835,Non-specific early-onset epileptic encephalopathy,SYNJ1,synaptojanin 1,21q22.11
442835,Non-specific early-onset epileptic encephalopathy,FOXG1,forkhead box G1,14q12
442835,Non-specific early-onset epileptic encephalopathy,SYNGAP1,synaptic Ras GTPase activating protein 1,6p21.32
442835,Non-specific early-onset epileptic encephalopathy,SCN1A,sodium voltage-gated channel alpha subunit 1,2q24.3
442835,Non-specific early-onset epileptic encephalopathy,WWOX,WW domain containing oxidoreductase,16q23.1-q23.2
442835,Non-specific early-onset epileptic encephalopathy,AARS1,alanyl-tRNA synthetase 1,16q22.1
442835,Non-specific early-onset epileptic encephalopathy,SCN8A,sodium voltage-gated channel alpha subunit 8,12q13.13
442835,Non-specific early-onset epileptic encephalopathy,NECAP1,NECAP endocytosis associated 1,12p13.31
442835,Non-specific early-onset epileptic encephalopathy,HCN1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,5p12
442835,Non-specific early-onset epileptic encephalopathy,SLC13A5,solute carrier family 13 member 5,17p13.1
442835,Non-specific early-onset epileptic encephalopathy,KCNB1,potassium voltage-gated channel subfamily B member 1,20q13.13
442835,Non-specific early-onset epileptic encephalopathy,DNM1,dynamin 1,9q34.11
442835,Non-specific early-onset epileptic encephalopathy,KCNA2,potassium voltage-gated channel subfamily A member 2,1p13.3
442835,Non-specific early-onset epileptic encephalopathy,KCNA2,potassium voltage-gated channel subfamily A member 2,1p13.3
442835,Non-specific early-onset epileptic encephalopathy,EEF1A2,eukaryotic translation elongation factor 1 alpha 2,20q13.33
442835,Non-specific early-onset epileptic encephalopathy,CNKSR2,connector enhancer of kinase suppressor of Ras 2,Xp22.12
442835,Non-specific early-onset epileptic encephalopathy,PARS2,"prolyl-tRNA synthetase 2, mitochondrial",1p32.3
442835,Non-specific early-onset epileptic encephalopathy,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,1q23.2
442835,Non-specific early-onset epileptic encephalopathy,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,19q13.2
442835,Non-specific early-onset epileptic encephalopathy,GABBR2,gamma-aminobutyric acid type B receptor subunit 2,9q22.33
442835,Non-specific early-onset epileptic encephalopathy,CACNA1B,calcium voltage-gated channel subunit alpha1 B,9q34.3
442835,Non-specific early-onset epileptic encephalopathy,CDK19,cyclin dependent kinase 19,6q21
442835,Non-specific early-onset epileptic encephalopathy,CACNA1A,calcium voltage-gated channel subunit alpha1 A,19p13.13
442835,Non-specific early-onset epileptic encephalopathy,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,7q21.11
443197,X-linked erythropoietic protoporphyria,ALAS2,5'-aminolevulinate synthase 2,Xp11.21
298,Mitochondrial neurogastrointestinal encephalomyopathy,POLG,"DNA polymerase gamma, catalytic subunit",15q26.1
298,Mitochondrial neurogastrointestinal encephalomyopathy,TYMP,thymidine phosphorylase,22q13.33
298,Mitochondrial neurogastrointestinal encephalomyopathy,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B,8q22.3
298,Mitochondrial neurogastrointestinal encephalomyopathy,LIG3,DNA ligase 3,17q12
443236,Postural orthostatic tachycardia syndrome due to NET deficiency,SLC6A2,solute carrier family 6 member 2,16q12.2
552,MODY,ABCC8,ATP binding cassette subfamily C member 8,11p15.1
552,MODY,CEL,carboxyl ester lipase,9q34.13
552,MODY,GCK,glucokinase,7p13
552,MODY,HNF4A,hepatocyte nuclear factor 4 alpha,20q13.12
552,MODY,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,11p15.1
552,MODY,KLF11,KLF transcription factor 11,2p25.1
552,MODY,NEUROD1,neuronal differentiation 1,2q31.3
552,MODY,PDX1,pancreatic and duodenal homeobox 1,13q12.2
552,MODY,HNF1A,HNF1 homeobox A,12q24.31
552,MODY,INS,insulin,11p15.5
552,MODY,PAX4,paired box 4,7q32.1
552,MODY,BLK,"BLK proto-oncogene, Src family tyrosine kinase",8p23.1
552,MODY,APPL1,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",3p14.3
443087,"46,XY difference of sex development due to testicular 17,20-desmolase deficiency",AKR1C2,aldo-keto reductase family 1 member C2,10p15.1
443087,"46,XY difference of sex development due to testicular 17,20-desmolase deficiency",AKR1C4,aldo-keto reductase family 1 member C4,10p15.1
443167,NUT midline carcinoma,NUTM1,NUT midline carcinoma family member 1,15q14
443167,NUT midline carcinoma,BRD4,bromodomain containing 4,19p13.12
130,Brugada syndrome,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,15q24.1
130,Brugada syndrome,ABCC9,ATP binding cassette subfamily C member 9,12p12.1
130,Brugada syndrome,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,10p12
130,Brugada syndrome,CACNA1C,calcium voltage-gated channel subunit alpha1 C,12p13.33
130,Brugada syndrome,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,7q21.11
130,Brugada syndrome,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,11q13.4
130,Brugada syndrome,GPD1L,glycerol-3-phosphate dehydrogenase 1 like,3p22.3
130,Brugada syndrome,KCND3,potassium voltage-gated channel subfamily D member 3,1p13.2
130,Brugada syndrome,SCN3B,sodium voltage-gated channel beta subunit 3,11q24.1
130,Brugada syndrome,TRPM4,transient receptor potential cation channel subfamily M member 4,19q13.33
130,Brugada syndrome,SCN10A,sodium voltage-gated channel alpha subunit 10,3p22.2
130,Brugada syndrome,SLMAP,sarcolemma associated protein,3p14.3
130,Brugada syndrome,SCN1B,sodium voltage-gated channel beta subunit 1,19q13.11
130,Brugada syndrome,AKAP9,A-kinase anchoring protein 9,7q21.2
130,Brugada syndrome,KCNE5,potassium voltage-gated channel subfamily E regulatory subunit 5,Xq23
130,Brugada syndrome,RANGRF,RAN guanine nucleotide release factor,17p13.1
130,Brugada syndrome,SCN5A,sodium voltage-gated channel alpha subunit 5,3p22.2
130,Brugada syndrome,SCNN1A,sodium channel epithelial 1 subunit alpha,12p13.31
130,Brugada syndrome,SEMA3A,semaphorin 3A,7q21.11
130,Brugada syndrome,SCN2B,sodium voltage-gated channel beta subunit 2,11q23.3
130,Brugada syndrome,KCNJ8,potassium inwardly rectifying channel subfamily J member 8,12p12.1
130,Brugada syndrome,PKP2,plakophilin 2,12p11.21
277,Severe combined immunodeficiency due to adenosine deaminase deficiency,ADA,adenosine deaminase,20q13.12
443162,NDE1-related microhydranencephaly,NDE1,nudE neurodevelopment protein 1,16p13.11
443811,PGM3-CDG,PGM3,phosphoglucomutase 3,6q14.1
443950,DNAJB2-related Charcot-Marie-Tooth disease type 2,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2,2q35
443988,Ventriculomegaly-cystic kidney disease,CRB2,crumbs cell polarity complex component 2,9q33.3
444092,Autoimmune interstitial lung disease-arthritis syndrome,COPA,COPI coat complex subunit alpha,1q23.2
444099,Autosomal dominant spastic paraplegia type 73,CPT1C,carnitine palmitoyltransferase 1C,19q13.33
444138,Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome,CAST,calpastatin,5q15
443995,Mandibulofacial dysostosis with alopecia,EDNRA,endothelin receptor type A,4q31.22-q31.23
444048,"46,XX ovarian dysgenesis-short stature syndrome",MCM9,minichromosome maintenance 9 homologous recombination repair factor,6q22.31
444013,Combined oxidative phosphorylation defect type 23,GTPBP3,"GTP binding protein 3, mitochondrial",19p13.11
444069,Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome,CENPF,centromere protein F,1q41
444077,Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome,AFF4,ALF transcription elongation factor 4,5q31.1
444072,Cerebellar-facial-dental syndrome,BRF1,BRF1 general transcription factor IIIB subunit,14q32.33
444463,Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome due to TPP2 deficiency,TPP2,tripeptidyl peptidase 2,13q33.1
444458,Combined oxidative phosphorylation defect type 24,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial",11q14.1
445110,Limb-girdle muscular dystrophy due to POMK deficiency,POMK,protein O-mannose kinase,8p11.21
445062,Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome,DNAJC3,DnaJ heat shock protein family (Hsp40) member C3,13q32.1
445038,3-methylglutaconic aciduria-neonatal cataract-neurologic involvement-congenital neutropenia syndrome,CLPB,ClpB family mitochondrial disaggregase,11q13.4
445018,Combined immunodeficiency due to LRBA deficiency,LRBA,LPS responsive beige-like anchor protein,4q31.3
